send_time          ,time_process          ,image_count ,time_received
1733409599.5063102 , 0.017902612686157227 ,      299.0 ,1733409599.518732
1733409600.4226046 , 0.014954566955566406 ,      300.0 ,1733409600.4230552
1733409600.55954   , 0.02538609504699707  ,      301.0 ,1733409600.565842
1733409600.6017635 , 0.016253232955932617 ,      302.0 ,1733409600.649916
1733409600.6449237 , 0.01917719841003418  ,      303.0 ,1733409600.649916
1733409600.675164  , 0.01386880874633789  ,      304.0 ,1733409600.719234
1733409600.708944  , 0.014209747314453125 ,      305.0 ,1733409600.719234
1733409600.7411811 , 0.01499032974243164  ,      306.0 ,1733409600.793668
1733409600.7744792 , 0.013771295547485352 ,      307.0 ,1733409600.793668
1733409600.8071606 , 0.01503753662109375  ,      308.0 ,1733409600.859565
1733409600.8398528 , 0.01376485824584961  ,      309.0 ,1733409600.859565
1733409600.8727088 , 0.015191078186035156 ,      310.0 ,1733409600.928629
1733409600.9054282 , 0.013538122177124023 ,      311.0 ,1733409600.928629
1733409600.9397464 , 0.016485929489135742 ,      312.0 ,1733409600.990015
1733409600.9740322 , 0.014421463012695312 ,      313.0 ,1733409600.990015
1733409601.0999856 , 0.0196688175201416   ,      314.0 ,1733409601.1064792
1733409601.236412  , 0.01828908920288086  ,      315.0 ,1733409601.36862
1733409601.881474  , 0.020896434783935547 ,      316.0 ,1733409601.882912
1733409602.5558197 , 0.012557744979858398 ,      317.0 ,1733409602.557755
1733409602.6619735 , 0.01725482940673828  ,      318.0 ,1733409602.667899
1733409602.703685  , 0.01622319221496582  ,      319.0 ,1733409602.728788
1733409602.743433  , 0.015759706497192383 ,      320.0 ,1733409602.793845
1733409602.7837067 , 0.0159151554107666   ,      321.0 ,1733409602.793845
1733409602.8145967 , 0.014293193817138672 ,      322.0 ,1733409602.857334
1733409602.8523586 , 0.015218019485473633 ,      323.0 ,1733409602.857334
1733409602.8837633 , 0.015118122100830078 ,      324.0 ,1733409602.91891
1733409602.9196777 , 0.01459646224975586  ,      325.0 ,1733409602.978365
1733409602.9516237 , 0.015141725540161133 ,      326.0 ,1733409602.978365
1733409602.9837048 , 0.015013694763183594 ,      327.0 ,1733409603.040271
1733409603.0175872 , 0.014805316925048828 ,      328.0 ,1733409603.040271
1733409603.051966  , 0.014983892440795898 ,      329.0 ,1733409603.109204
1733409603.0860033 , 0.016354084014892578 ,      330.0 ,1733409603.109204
1733409603.1959112 , 0.01644301414489746  ,      331.0 ,1733409603.19906
1733409603.226259  , 0.014191150665283203 ,      332.0 ,1733409603.2600582
1733409603.2661867 , 0.015726089477539062 ,      333.0 ,1733409603.3293
1733409603.2986417 , 0.015075206756591797 ,      334.0 ,1733409603.3293
